SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Affiliated,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)","Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,"Oakland Tech - Fashion, Arts, & Design Academy (CPA)",Not applicable,M,11,94609,Other Asian,McClymonds,321,English Only,2.79,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94601,Hispanic or Latino,Fremont Federation,439,English Learner,1.71,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94621,Hispanic or Latino,Middle School Registration,432,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94605,Hispanic or Latino,Castlemont Community,354,English Only,2.75,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94609,Black or African American,High School Registration,520,English Only,0.00,Below,1
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94607,Other or Not Specified,McClymonds,435,English Only,1.89,Below,2
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94607,Black or African American,McClymonds,346,English Only,2.80,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94612,Black or African American,McClymonds,405,English Only,1.73,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94607,Black or African American,McClymonds,406,English Only,2.09,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94608,Black or African American,McClymonds,479,English Only,1.06,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94612,Other Asian,Oakland Technical HS,456,Redesignated (RFEP),1.37,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94612,Black or African American,Oakland Technical HS,348,English Only,2.81,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Black or African American,Montera,258,English Only,3.17,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94610,Black or African American,Oakland Technical HS,481,English Only,1.06,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Cambodian,Westlake,390,Redesignated (RFEP),1.83,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94608,Other or Not Specified,Oakland Technical HS,427,English Only,2.19,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94610,Black or African American,Oakland Technical HS,254,English Learner,3.34,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94621,Chinese,Oakland Technical HS,347,Redesignated (RFEP),2.87,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94602,Filipino,Oakland Technical HS,323,English Only,2.53,Above,3
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94605,Black or African American,Oakland Technical HS,262,English Only,3.24,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94602,Hispanic or Latino,Bret Harte,262,English Learner,3.29,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94606,Other Asian,Oakland Technical HS,253,English Learner,3.11,Above,4
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94619,Chinese,Bret Harte,151,English Only,3.75,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Other Asian,Bret Harte,327,English Learner,2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94603,Hispanic or Latino,International High School,373,English Learner,2.45,Below,3
